,0
mohiyati,3
mazmunini,1
tomonidan,60
insonga,1
qo‘llaniladigan,1
choralari,1
mutanosiblik,1
asoslanishi,1
maqsadlarga,1
erishish,1
yetarli,2
munosabatlarida,1
yuzaga,2
keladigan,1
qonunchilikdagi,1
ziddiyatlar,2
noaniqliklar,1
foydasiga,3
shaxsini,1
erkin,7
kamol,3
toptirish,1
huquqiga,40
roziligisiz,4
qonunchilikda,1
belgilanmagan,1
majburiyat,1
yuklatilishi,1
erkinliklarini,11
oshirishda,3
shaxslarning,17
qonuniy,10
putur,1
yetkazmasligi,2
tuzumni,3
aholining,20
sog‘lig‘ini,5
axloqni,2
qilish,92
xavfsizligini,9
tartibini,2
zarur,6
doirada,2
cheklanishi,2
mumkinvi,1
o‘rnatiladi,1
unga,9
qanday,8
asoslarda,2
bo‘lganlikdan,1
hamma,3
uchinchi,5
qoraqalpog‘iston,39
ayni,14
vaqtda,2
ikkinchi,11
fuqarolikka,2
bo‘lish,8
bekor,4
yo‘qotish,1
asoslari,22
xavfsizlik,26
tartibot,18
muhofazasi,21
xavfsizligi,9
fuqarolarining,4
o‘zbekistondan,4
ham,5
tashqarisida,1
fuqarolarini,1
homiylik,1
ko‘rsatishni,2
tashqariga,2
majburiy,7
chiqarib,1
yuborilishi,4
davlatga,1
berib,1
huquqlarini,10
qiynashni,2
taqiqlash,3
diskriminatsiya,2
bolalar,7
huquqini,4
ayollar,4
xorijda,1
yashayotgan,3
vatandoshlar,1
saqlab,1
qolish,1
rivojlantirish,10
to‘g‘risida,17
g‘amxo‘rlik,6
chet,8
el,2
hududidagi,2
bo‘lmagan,5
ular,11
burchlarni,1
ado,1
moddalarivii,1
yashash,3
huquqidir,1
muhofaza,38
suiqasd,1
og‘ir,4
o‘lim,1
jazosi,1
narsa,1
kamsitish,1
qiynoqqa,1
solinishi,1
zo‘ravonlikka,1
shafqatsiz,1
g‘ayriinsoniy,1
qadrqimmatini,5
kamsituvchi,1
muomalaga,5
yoxud,6
jazoga,3
duchor,1
kimda,1
tibbiy,7
tajribalar,1
o‘tkazilishi,3
asoslanmagan,2
hibsga,2
olinishi,5
ushlab,4
turilishi,4
qamoqqa,3
qamoqda,2
saqlanishi,2
ozodligi,1
jinoyatprotsessual,9
olishga,6
sudning,13
qaroriga,7
qirq,1
sakkiz,2
soatdan,1
ortiq,11
muddat,2
shaxsni,1
ushlash,1
chog‘ida,2
tushunarli,1
tilda,3
tushuntirilishi,1
qonunchiligi,29
dalillar,2
isbot,2
qilinishi,15
lozim,3
sodir,3
etganlikda,1
ayblanayotgan,1
aybi,1
qonunda,27
oshkora,2
muhokamasi,1
yo‘li,7
isbotlanmaguncha,1
kirgan,1
hukmi,2
aniqlanmaguncha,1
aybsiz,1
deb,5
ayblanuvchiga,1
imkoniyatlar,3
aybdorlikka,1
oid,9
shubhalar,1
bartaraf,2
imkoniyatlari,1
tugagan,1
gumon,3
qilinuvchining,1
ayblanuvchining,1
sudlanuvchining,1
mahkumning,1
kerak,2
qilinuvchi,2
ayblanuvchi,2
sudlanuvchi,2
aybsizligini,1
isbotlashi,1
shart,2
istalgan,2
sukut,1
saqlash,14
huquqidan,6
foydalanishi,2
o‘ziga,8
yaqin,2
qarindoshlariga,1
qarshi,13
guvohlik,2
berishga,3
majbur,1
shaxsning,2
aybini,1
olganligi,1
dalil,1
aybdor,1
topilishi,1
tortilishi,4
ozodlikdan,3
insoniy,1
muomalada,1
shaxsiga,2
xos,5
jinoyatijroiya,1
sudlanganlar,1
qamoqdagi,1
sudlanganligi,1
bundan,6
chiqadigan,1
oqibatlar,1
qarindoshlari,1
cheklash,1
malakali,4
yordam,5
olish,21
hollarda,6
hisobidan,3
ko‘rsatiladi,1
protsessining,1
bosqichida,1
ushlanganida,1
esa,1
harakatlanish,2
amalda,1
cheklangan,1
paytdan,2
tanloviga,1
advokat,3
yordamidan,2
foydalanish,21
prokuratura,22
advokatura,19
notariat,11
adliya,12
fhdy,11
protsessida,1
advokatlarning,2
ayblovning,1
xabardor,1
qilinish,1
berayotgan,1
so‘roq,1
talab,2
tarjimon,2
qonunni,7
buzgan,2
olingan,2
dalillardan,1
odil,20
sudlovni,3
oshirish,17
foydalanishga,1
qo‘yilmaydi[okoz,2
hukm,6
ajrim,2
qarorlarning,4
qonuniyligini,2
adolatliligini,2
asosliligini,2
hukmning,1
turuvchi,2
qayta,9
ko‘rib,25
chiqilishi,7
afv,8
jazoni,2
yengillashtirish,1
iltimos,1
natijasida,1
yetkazilgan,3
moddiy,6
zararni,1
huquqbuzarliklardan,1
jabrlanganlarning,1
jabrlanganlarga,1
himoyalanishni,1
sudlovdan,1
foydalanishni,3
zararning,2
o‘rni,3
qoplanishi,3
shartsharoitlar,14
rasmiy,3
qilinmagan,1
molmulkidan,2
jazo,2
tayinlanishi,2
jinoiy,3
javobgarlikdan,1
jazodan,1
ozod,18
takroran,2
oilaviy,3
sirga,1
yozishmalari,1
telefon,1
so‘zlashuvlari,1
pochta,1
elektron,1
xabarlari,1
sir,3
cheklanishiga,1
asosan,3
qo‘yiladi lexuz,2
boblari,1
noto‘g‘ri,1
tuzatilishini,1
to‘plangan,1
asoslarga,2
bo‘lmay,1
qolgan,4
yo‘q,1
uyjoy,11
uyjoyga,4
unda,2
yashovchi,1
xohishiga,1
kirishga,1
qo‘yishni,1
ko‘zdan,1
kechirishni,1
o‘tkazishga,3
uyjoyda,1
tintuv,1
joydan,1
joyga,1
ko‘chish,1
turgan,3
mamlakat,6
bo‘ylab,1
joyini,1
tanlash,3
cheklovlar,3
chiqish,14
mustasno,3
o‘zbekistonga,1
to‘sqinliksiz,2
qaytish,1
muassasalaridan,1
ayrim,5
toifadagi,7
ustidan,13
nazorat,5
fikr,1
so‘z,2
fikrlash,1
axborotni,5
izlash,4
topish,1
tarqatish,2
kafolatlari,8
axborot,19
axborotlashtirish,3
tizimlari,1
texnologiyalari,1
vositalari,10
internet,2
global,1
tarmog‘idan,1
huquqbuzarliklar,2
tarqatishga,2
huquqni,2
cheklashga,2
sirlari,1
qo‘riqlanadigan,1
oshkor,1
etilishining,2
oldini,1
sirlarini,1
daxldor,2
qarorlar,12
materiallar,2
tanishish,3
tashkilotlari,29
imkoniyatini,4
vijdon,2
xohlagan,1
dinga,2
diniy,10
qarashlarni,1
majburan,1
singdirishga,1
qo‘yilmaydi lexuz,2
qonuniviii,1
boshqarishda,4
ishtirok,19
vakillari,2
bunday,4
referendumlar,1
organlarini,7
shakllantirish,7
faoliyati,47
jamoatchilik,6
nazorati,3
vositasida,1
oshiriladi,4
nazoratini,3
boshqaruvi,20
xizmati,5
xizmatiga,1
kirishda,1
teng,11
huquqqa,2
egadirlar,2
xizmatini,3
o‘tash,2
bog‘liq,6
mitinglar,2
yig‘ilishlar,2
namoyishlar,2
faolliklarini,1
qonunlariga,7
shaklida,1
nuqtai,1
nazaridangina,1
tadbirlar,1
o‘tkazilishini,1
to‘xtatish,1
kasaba,7
uyushmalari,6
partiyalar,11
birlashmalariga,3
uyushish,2
ommaviy,17
harakatlarda,4
uyushmalariga,2
partiyalarga,2
birlashmalari,10
partiyalarda,1
birlashmalarida,1
vakillik,31
organlarida,1
ozchilikni,1
muxolifatchi,1
kamsitishi,1
majlisining,124
oltinchi,2
ariza,1
taklif,5
shikoyatlar,3
murojaat,7
tartiblar,1
rejimlar,1
jismoniy,14
boshqalar,6
birgalikda,1
organlariga,7
tashkilotlariga,1
shaxslarga,3
vakillariga,1
arizalar,2
takliflar,2
o‘zga,3
tashkilotlarga,2
muddatlarda,2
shartix,1
iqtisodiy,15
ekologik,12
ijtimoiyiqtisodiy,18
mulkka,1
mulkdor,3
bo‘lishga,2
meros,5
moliya,17
kredit,16
bank,29
omonati,1
depozit,1
operatsiyalarining,1
omonatlarning,1
hisobvaraqlarning,1
tutilishi,2
siri,1
v,1
bo‘limimodda[okoz,1
ishni,1
sharoitlarida,2
ishlash,2
ishsizlikdan,3
kasb,1
faoliyat,12
turini,1
gigiyena,1
talablariga,1
javob,2
beradigan,1
qulay,4
mehnati,2
kamsitishlarsiz,1
mehnatga,5
haq,8
to‘lashning,2
kam,6
miqdoridan,1
bandligi,14
to‘lash,2
miqdori,1
turmush,4
darajasini,1
zarurati,1
hisobga,3
ishga,7
qilishni,3
rad,9
qo‘yilmasligi],1
homiladorligi,1
bolasi,1
borligi,1
sababli,1
ayollarni,1
ishdan,5
bo‘shatish,5
haqini,1
kamaytirish,1
joylash,3
sohasidagi,13
boshqaruv,2
ishsizlarni,1
bandligini,1
kambag‘allikni,2
qisqartirish,2
choralarini,2
ko‘radi[okoz,5
kasbiy,5
tayyorgarlik,1
malaka,1
tayyorgarligini,1
tayyorlanishini,1
etadi,15
rag‘batlantiradimodda,1
qarori,8
tayinlangan,1
tartibidan,1
hollardan,2
tashqari,5
qismining,12
mehnatni,2
zararli,2
sharoitlari,1
mehnatning,1
holatlari,1
xodimlarni,1
mehnatining,2
muhofazaga,1
muhtoj,2
xodimlar,1
mehnatini,3
tartibga,9
solishning,3
qo‘shimcha,1
xususiyatlari,4
yoshlar,2
bolaning,2
sog‘lig‘iga,2
xavfsizligiga,2
axloqiga,1
aqliy,2
rivojlanishiga,1
xavf,2
soluvchi,3
shu,5
jumladan,3
olishiga,2
to‘sqinlik,3
shakllari,5
dam,6
bayram,2
yollanib,1
ishlovchilarga,1
vaqtining,1
davomiyligini,1
ishlanmaydigan,1
kunlarini,1
to‘lanadigan,4
yilgi,4
belgilash,4
qariganda,2
layoqatini,2
yo‘qotganda,3
boquvchisidan,1
bo‘lganda,1
qobiliyatini,1
ishsizlikda,1
boquvchisini,1
pensiya,1
sug‘urta,6
pensiyalar,2
pensiyalarni,1
hisoblab,1
chiqarish,3
nafaqalar,4
kompensatsiya,2
to‘lovlari,2
nafaqalarni,1
tayinlash,9
hisoblash,1
turdagi,2
yordamning,2
miqdorlari,1
rasman,2
xarajatlaridan,1
oz,1
emasmodda,1
uyjoyli,1
uyjoyidan,2
mulkdorga,1
uyjoyning,1
qiymati,1
ko‘rgan,1
zararlarning,1
oldindan,1
qiymatda,1
kommunal,2
xo‘jalik,6
fuqarolarni,5
fondidan,2
qurilishini,1
rag‘batlantiradi,1
oshirilishi,2
toifalarini,2
fondiga,1
qarashli,1
binolari,1
jihatdan,10
ehtiyojmand,3
xizmatdan,2
sog‘liqni,7
tarbiya,8
sport,5
turizm,3
turli,2
fuqarolarga,2
ko‘rsatish,3
bepul,2
kafolatlangan,1
hajmini,1
sanitariyaepidemiologik,3
sog‘lomligi,1
sanitariya,2
talablarini,1
buzganlik,1
nodavlat,18
shakllarini,3
sug‘urtaning,1
turlarini,1
osoyishtaligini,1
sportni,1
o‘rtasida,4
sog‘lom,4
tarzini,1
atrof,22
muhit,10
resurslar,10
muhitni,11
bo‘yicha,35
holati,5
atrofmuhitga,3
ishonchli,1
axborotga,1
muhitga,2
baholash,1
ko‘rsatilishiga,1
qo‘ymaslik,1
shaharsozlik,5
tadbirkorlik,6
arxitektura,1
normativlari,1
hujjatlarining,2
loyihalari,1
muhokamasidan,2
o‘tkaziladi,7
rivojlanish,1
atrofmuhitni,3
yaxshilash,1
tiklash,3
muvozanatni,1
choratadbirlarni,3
xavfsizlikni,4
qilinadigan,4
hududlar,1
suv,3
zonasi,1
qirg‘oq,1
bo‘yi,1
mintaqasi,1
obyektlarining,1
zonalari,2
er,3
usti,1
yer,5
osti,3
suvlarining,1
hosil,1
mintaqalarning,1
orolbo‘yi,1
mintaqasining,1
mintaqani,1
choralar,4
ko‘radimodda[okoz,1
bilim,1
fan,13
madaniyat,20
uzluksiz,1
turlari,2
maktabgacha,3
tarbiyani,1
yaratadi,5
o‘rta,4
o‘rtamaxsus,1
kasbhunar,1
litseylar,1
boshlang‘ich,1
professional,1
olishni,1
kafolatlaydi,1
majburiydir,2
tashkilotlarida,2
ehtiyojlariga,1
inklyuziv,1
grantlari,1
himoyaga,2
tanlov,1
muassasalari,1
akademik,1
tadqiqotlar,1
o‘qitish,1
pedagoglarning,1
xodimlarining,2
o‘qituvchining,1
barkamol,1
avlodni,1
tarbiyalash,2
salohiyatini,1
boyitishning,1
asosi,1
o‘qituvchilarning,1
o‘sishi,1
texnikaviy,3
ijod,2
yutuqlaridan,2
badiiy,1
intellektual,2
mulk,8
haqida,5
maqsadidir,1
mustahkamlangan,1
taqiqlanmagan,1
usullar,1
qilishga,9
tashkilotlarning,2
shaxslarining,2
qarorlari,9
harakatlari,3
harakatsizligi,2
sudga,4
shikoyat,3
buzilgan,1
ishi,3
vakolatli,2
mustaqil,10
xolis,1
qonunchiligiga,1
shartnomalariga,1
vositalaridan,2
foydalanib,2
bo‘lingan,2
organlarga,2
yetkazilganligi,1
oqibatidagi,1
tufayli,1
mavjud,1
vositalarini,1
to‘ldiradi,1
jamiyatini,1
madaniyatini,1
yuksaltirishga,1
ko‘maklashadi,2
sug‘urtani,2
layoqatsiz,4
yolg‘iz,1
keksalar,1
nogironligi,4
toifalarining,3
sifatini,2
oshirishga,4
hayotida,3
to‘laqonli,6
etishi,5
yaratishga,1
hayotiy,1
ehtiyojlarini,1
imkoniyatlarini,1
kengaytirishga,1
choralarni,1
nogironlar,1
sohalar,1
obyektlari,1
xizmatlaridan,1
joylashishiga,1
xotinqizlar,3
erkaklar,2
erkaklarga,1
sohalarida,2
imkoniyatlarni,1
konstitutsion,6
belgilab,1
burchlarini,1
rioya,6
insonlarning,1
obyektlaridan,1
xalqining,3
merosini,1
asrabavaylashi,1
tarixiymadaniy,1
obyektlarini,2
merosi,1
ehtiyotkorona,1
munosabatda,1
uchinichi,1
viii,1
tabiatdan,1
maxsus,3
bo‘limi,1
soliq,8
soliqlar,3
yig‘imlar],1
yig‘imlarni,1
to‘lashi,1
yig‘imlar,1
oshirishiga,1
qilmasligi,1
mudofaa,10
harbiy,6
xizmatni,2
shartnoma,4
kontrakt,1
xizmatga,1
kirish,1
muqobil,2
fuqaro,1
mudofaasi,1
obyektlarni,1
respublikasini,1
fuqarosining,1
burchidir,1
o‘tashga,1
majburdirlaruchinchi,1
shaxsxii,1
iqtisodiyot,5
ijtimoiymadaniy,5
qurilish,5
boshqaruvining,8
islohotlar,1
iqtisodiyotining,1
negizini,1
xilmaxil,1
shakllardagi,1
bozor,1
halol,1
raqobat,2
ustuvorligini,1
olgan,3
erkinligini,3
ashyoviy,3
huquqlarni,2
shakllarining,1
huquqliligi,1
mulkchilik,1
huquqlar,1
xususiy,4
tartibdan,1
mulkni,1
mulkdorlar,1
huquqlarining,2
molmulkka,1
xohishicha,1
egalik,1
undan,5
foydalanadi,1
tasarruf,1
molmulkdan,1
buzmasligi,1
investitsiyalar,1
xorijdan,1
mablag‘,1
jalb,1
larga,1
investitsiya,1
investitsiyaviy,2
ishbilarmonlik,1
muhitini,1
tadbirkorlarni,1
tadbirkorlar,1
qonunchilikka,3
faoliyatni,1
yo‘nalishlarini,2
tanlashga,1
makon,1
birligi,2
tovarlar,1
xizmatlar,1
resurslari,2
moliyaviy,1
mablag‘larning,1
harakatlanishi,1
monopoliyalar,1
monopoliya,1
raqobatli,1
monopol,1
solinadi,2
boyliklari,2
o‘simlik,1
hayvonot,1
dunyosi,1
umummilliy,2
boylikdir,1
oqilona,2
suvdan,1
“o‘simlik,1
dunyosini,2
“o‘rmon,1
havosini,1
erdan,1
uchastkasiga,1
huquqlarning,1
vujudga,2
kelishi,2
hujjatlariga,1
yerga,1
boylik,1
shartlar,1
mumkinxiii,1
notijorat,22
maqomining,2
radio,3
televideniye,3
jamiyatining,2
institutlarining,2
tashkilotlarini,1
ro‘yxatga,1
tashkilotlarni,1
ro‘yxatiga,1
harakatlar,2
olimlarning,1
jamiyatlari,1
faxriylar,1
ijodiy,4
uyushmalar,1
birlashmalarini,1
tarqatib,8
yuborish,5
taqiqlab,1
asosidagina,1
birlashmalarining,1
zo‘rlik,1
o‘zgartirishni,1
qo‘yuvchi,1
suverenitetiga,1
yaxlitligiga,1
chiquvchi,1
urushni,1
irqiy,1
adovatni,1
targ‘ib,1
axloqqa,1
tajovuz,1
partiyalarning,3
tashkilotlarining,3
belgilariga,1
harbiylashtirilgan,1
birlashmalarning,1
taqiqlanadi,2
maxfiy,1
jamiyatlar,1
birlashmalar,1
xatboshilari,1
etilishini,3
faoliyatiga,13
aralashishiga,2
xodimlarning,2
etadilar,2
qiladilar,1
tabaqa,1
guruhlarning,1
ifodalaydilar,1
o‘zlarining,1
saylab,1
hokimiyatini,1
tuzishda,1
moliyalashtirilishi,1
manbalari,1
palatasiga,8
organga,1
hisobotlar,3
davlatdan,1
ajratilgan,1
tengdirlar,1
aralashmaydi,1
ko‘rsatayotgan,1
qonunixiv,1
onalik,4
otalik,4
bolalikni,3
qo‘llabquvvatlash],3
bo‘g‘inidir,1
nikoh,3
qadriyatlariga,1
nikohlanuvchilarning,1
ixtiyoriy,1
roziligiga,1
huquqliligiga,1
oilaning,1
otaonalar,6
bolalarning,3
majburiyatlari,4
aliment,2
o‘rnini,1
bosuvchi,1
farzandlarini,1
voyaga,2
yetguniga,1
qadar,7
boqishi,1
tarbiyasi,1
olishi,1
topishi,1
xususida,1
qarovisiz,2
bolalarni,4
aniqlash,1
yetim,1
otaonasining,2
vasiyligidan,1
boqishni,1
tarbiyalashni,1
olishini,1
topishini,1
maqsadda,1
xayriya,1
rag‘batlantiradi lexuz,1
farzandlar,2
naslnasabi,1
holatidan,1
holatini,2
yaxshi,2
shartsharoitlarni,1
yaratish,3
bolalik,1
bolalarda,1
yoshlarda,1
sodiqlikni,1
mamlakatidan,1
boy,1
merosidan,1
faxrlanishni,1
vatanparvarlik,1
vatanga,1
mehrmuhabbat,1
tuyg‘ularini,1
yoshlarning,2
faol,1
etishini,2
rag‘batlantiradi[okoz,1
axloqiy,1
shakllanishi,1
joylashishga,1
bandlik,1
mulkiy,1
yetgan,1
layoqatli,1
otaonalari,1
moddasixv,1
erkindir,1
boradilar,1
oshirilishini,4
resurslaridan,1
vositalaridagi,1
etadigan,1
axborotning,1
ishonchliligi,1
senzuraga,1
qo‘yilmaydi,4
vositalarining,1
aralashish,2
sabab,2
bo‘ladito‘rtinchi,1
tuzilishixvi,1
bo‘linish]modda,1
viloyatlar,15
tumanlar,10
shaharlar,10
shaharchalar,3
qishloqlar,3
ovullar,1
respublikasidan,1
shahrining,1
chegaralarini,3
o‘zgartirish,12
roziligi,1
qonunixvii,1
tarkibiga,3
kiradi,2
konstitutsiyasiga,12
o‘zgartirish]modda,1
chegaralari,1
o‘zgartirilishi,1
masalalarini,2
tarkibidan,5
ajralib,1
munosabatlari,1
doirasida,5
tuzilgan,4
bitimlar,1
o‘rtasidagi,1
nizolar,1
murosaga,1
keltiruvchi,1
vositalar,1
yordamida,1
etiladibeshinchi,1
etilishixviii,1
organi,5
hokimiyatni,2
palatali,1
parlament,11
om,1
palatadan,1
senatdan,1
iborat,12
